ap,p,t,B,lfc
0.996,0.000105,-6.1686837,-3.38,-0.7042584
0.996,0.000198,-5.6945524,-3.44,-1.46825362
0.996,0.000219,-5.6242074,-3.44,-1.8579745
0.996,0.000225,-5.6022024,-3.45,-1.49228104
0.996,0.000269,5.4752226,-3.46,0.6522448
0.996,0.000271,5.4717637,-3.46,1.33326422
0.996,0.000303,5.3906069,-3.48,0.69699522
0.996,0.000347,5.2973055,-3.49,0.82036468
0.996,0.000382,-5.2293849,-3.5,-1.15554626
0.996,0.000463,-5.0975867,-3.52,-1.9001556
0.996,0.000485,5.0658542,-3.52,0.73528478
0.996,0.000603,-4.9180578,-3.55,-1.8714311
0.996,0.000658,4.8603164,-3.56,0.70433394
0.996,0.00067,-4.8478252,-3.56,-0.97333288
0.996,0.000674,-4.8439548,-3.56,-0.8024241
0.996,0.000691,4.82674,-3.56,0.7866967
0.996,0.000709,4.8099402,-3.56,0.91957676
0.996,0.000749,4.7733537,-3.57,0.59644564
0.996,0.000832,4.7042955,-3.58,0.9847044
0.996,0.000847,-4.6927165,-3.58,-0.70319964
0.996,0.000897,-4.6543952,-3.59,-1.41148798
0.996,0.000941,-4.6233281,-3.6,-1.2396588
0.996,0.001075,4.5366567,-3.61,1.07335108
0.996,0.001078,4.5346545,-3.61,0.95360352
0.996,0.001099,-4.5226651,-3.61,-0.87825888
0.996,0.001161,-4.4871217,-3.62,-1.28059436
0.996,0.001194,-4.4689869,-3.62,-0.52272954
0.996,0.001196,-4.4677452,-3.62,-0.8567121
0.996,0.001245,4.4419522,-3.63,0.90602468
0.996,0.00126,-4.4340038,-3.63,-0.73395948
0.996,0.001266,-4.4309631,-3.63,-0.60388944
0.996,0.001281,4.4235274,-3.63,0.64620718
0.996,0.001341,4.3942308,-3.64,0.67617396
0.996,0.001385,4.3735775,-3.64,0.5127288
0.996,0.001392,4.3705975,-3.64,0.4366046
0.996,0.001408,4.3629353,-3.65,1.00475188
0.996,0.001415,4.3598604,-3.65,0.78034122
0.996,0.00142,4.3576137,-3.65,0.97717082
0.996,0.00146,4.3402081,-3.65,0.49315
0.996,0.001463,-4.3386951,-3.65,-1.02366758
0.996,0.001464,-4.3382666,-3.65,-0.862862
0.996,0.001465,-4.3379022,-3.65,-1.40774196
0.996,0.001469,4.3361257,-3.65,0.5985518
0.996,0.001471,-4.3352296,-3.65,-2.01719666
0.996,0.001508,4.3192351,-3.65,0.4177659
0.996,0.001534,4.3086529,-3.66,0.49434912
0.996,0.001564,4.2961517,-3.66,0.68615116
0.996,0.001578,-4.290657,-3.66,-0.88709196
0.996,0.00159,4.2857308,-3.66,0.7478676
0.996,0.00159,4.2855818,-3.66,0.4051798
0.996,0.001617,4.275021,-3.66,0.97075474
0.996,0.001621,-4.2736723,-3.66,-0.91150794
0.996,0.001625,-4.2721358,-3.66,-1.56328698
0.996,0.001642,4.265446,-3.66,1.008641
0.996,0.001659,-4.2588135,-3.67,-1.15017812
0.996,0.001668,-4.2553945,-3.67,-0.61557978
0.996,0.00167,4.2545999,-3.67,1.09082688
0.996,0.001681,4.2504356,-3.67,1.0527009
0.996,0.001744,4.2273946,-3.67,0.5392512
0.996,0.001794,-4.2094836,-3.68,-1.4273966
0.996,0.001794,4.2094709,-3.68,0.39219804
0.996,0.001829,4.1971904,-3.68,0.76316412
0.996,0.00186,4.1866271,-3.68,1.02366538
0.996,0.001877,4.1811157,-3.68,1.12783034
0.996,0.001886,-4.1781604,-3.68,-1.3235433
0.996,0.001892,4.1760195,-3.68,0.8142342
0.996,0.001931,4.1632511,-3.69,0.7578498
0.996,0.001935,4.1620261,-3.69,0.49161308
0.996,0.001935,4.1617586,-3.69,0.54269198
0.996,0.001987,4.1452126,-3.69,0.55159352
0.996,0.001999,4.1414473,-3.69,0.71039604
0.996,0.002006,4.1392959,-3.69,0.83716362
0.996,0.002026,4.1329637,-3.69,0.4438941
0.996,0.002061,-4.1223272,-3.69,-2.42133178
0.996,0.002062,4.1222061,-3.69,0.52598538
