TCGA.2W.A8YY.01,TCGA.4J.AA1J.01,TCGA.BI.A0VR.01,TCGA.BI.A0VS.01,TCGA.BI.A20A.01,TCGA.C5.A0TN.01,TCGA.C5.A1BE.01,TCGA.C5.A1BF.01,TCGA.C5.A1BI.01,TCGA.C5.A1BJ.01,TCGA.C5.A1BK.01,TCGA.C5.A1BL.01,TCGA.C5.A1BM.01
-0.369700774,-0.376244799,-0.004053347,0.611085054,0.747282585,2.526848531,-0.161927963,0.918654254,-0.986884183,-0.362338745,-0.387287843,-0.411418937,-0.228186222
-0.747875378,-0.711083223,0.587433409,-0.880367755,-0.276619629,-0.187642742,0.107495775,0.419381802,0.426717077,0.74540052,0.699092664,0.289127691,-0.555218439
-0.369700774,-0.376244799,-0.004053347,0.611085054,0.747282585,2.526848531,-0.161927963,0.918654254,-0.986884183,-0.362338745,-0.387287843,-0.411418937,-0.228186222
-0.747875378,-0.711083223,0.587433409,-0.880367755,-0.276619629,-0.187642742,0.107495775,0.419381802,0.426717077,0.74540052,0.699092664,0.289127691,-0.555218439
0.454519902,0.80583206,0.290229805,-1.040106674,-0.216589646,-2.512517922,0.691138973,0.662207383,0.453486631,0.522199156,0.430238032,1.889733393,-2.234568009
-0.03529275,0.363766763,-0.025879039,-0.406520421,0.308921661,0.730082932,0.277406192,0.34043713,0.174264656,0.082173999,-1.257438091,-2.143964148,0.078899664
-1.373968315,-0.752703415,0.584789643,0.253144348,0.899607818,-1.014409967,-0.583236122,-0.015742898,-0.833739352,-0.456319192,-0.669749433,-0.31206009,-0.606145624
-0.036648155,0.362422392,-0.027234183,-0.40788609,0.307575773,0.728748689,0.276059433,0.339092114,0.172915045,0.080821842,-1.258827287,-2.145377857,0.077547417
-0.036648155,0.362422392,-0.027234183,-0.40788609,0.307575773,0.728748689,0.276059433,0.339092114,0.172915045,0.080821842,-1.258827287,-2.145377857,0.077547417
-1.062698248,0.181483953,0.041111024,0.004475258,0.127351127,0.299999826,0.5658956,1.198431293,-0.709066926,0.863488387,1.348301642,-0.778068957,-0.006600072
-0.029072304,0.36738733,-0.019719923,-0.397881421,0.312899545,0.731316944,0.281589399,0.34420969,0.179119832,0.087629147,-1.24325535,-2.124005677,0.084376145
0.219891371,0.191416936,0.22938285,1.418837667,-0.404389049,0.798008693,0.475729858,-2.196121314,0.335083405,0.656067947,0.247071514,-0.258133996,0.316100448
2.593888228,-0.9322247,0.065915632,-0.075257902,0.197678634,-0.541043033,0.330196327,-0.144890421,1.253657241,0.383510221,0.446770242,-0.006993542,1.274883642
-1.071952452,-0.92879382,0.8209228,0.641406419,1.01699494,-0.219817735,-0.960282226,-0.797970852,-0.252929255,-0.11886006,-0.040625977,0.226538545,0.315160556
-1.306572437,-0.876062477,0.103489822,0.328398163,-1.07211396,0.427672192,0.286129813,0.657429317,-0.707351894,-0.312442358,-0.686817739,-0.708589097,-0.202737076
0.047817452,-3.806286749,0.025861816,-0.437580121,1.729500485,0.945624943,0.31306527,0.440645316,0.290516238,0.119618315,0.101816448,-3.038432887,0.299417172
-0.200706859,0.082899914,-0.297451225,0.26711179,0.18958377,1.008597721,0.066334098,0.0968152,-0.063541901,-0.076794554,-0.147033614,-0.028422371,0.051093547
-0.972115075,0.186394142,0.210347131,-0.105704387,0.137861423,0.100218018,-0.329718731,0.122508511,0.742004798,-0.137842624,0.009605464,-0.547869831,0.005291265
